Age,Workclass,Education,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,Capital Loss,Hours per week,Country,Target
37.00 < Age <= 48.00,Private,Masters,Separated,Professional,Unmarried,White,Female,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,Blue-Collar,Not-in-family,Black,Male,None,Low,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,Professional,Husband,White,Male,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Associates,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Never-Married,Professional,Not-in-family,Amer-Indian-Eskimo,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,Low,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,Prof-School,Never-Married,Professional,Own-child,Asian-Pac-Islander,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-inc,Doctorate,Married,Professional,Husband,White,Male,None,None,Hours per week > 45.00,?,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,?,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Male,High,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Widowed,Professional,Unmarried,White,Female,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,Black,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,Bachelors,Never-Married,White-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Doctorate,Never-Married,Professional,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,Professional,Husband,Asian-Pac-Islander,Male,Low,None,Hours per week <= 40.00,British-Commonwealth,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-not-inc,High School grad,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Dropout,Separated,Service,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,High School grad,Married,White-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Other,Unmarried,White,Female,Low,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Service,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Admin,Husband,White,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,White-Collar,Husband,White,Male,High,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Bachelors,Never-Married,White-Collar,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Sales,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Associates,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,Euro_2,"More than $50,000"
Age > 48.00,Private,High School grad,Separated,Admin,Other-relative,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,High School grad,Separated,Sales,Unmarried,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,Black,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Admin,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,Dropout,Married,Service,Husband,White,Male,None,None,Hours per week <= 40.00,Latin-America,"Less than $50,000"
Age <= 28.00,Private,High School grad,Married,Professional,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Married,Admin,Wife,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Never-Married,Blue-Collar,Unmarried,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Married,Sales,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Separated,Admin,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Separated,Service,Not-in-family,White,Female,None,None,Hours per week <= 40.00,Euro_1,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Widowed,Blue-Collar,Unmarried,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Federal-gov,Doctorate,Never-Married,Professional,Not-in-family,White,Female,None,Low,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Masters,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,?,High School grad,Married,?,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,White-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Self-emp-not-inc,Bachelors,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,White-Collar,Husband,White,Male,Low,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,State-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Professional,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Self-emp-not-inc,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Wife,Asian-Pac-Islander,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Professional,Not-in-family,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Service,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Self-emp-inc,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Local-gov,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Married,Other,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Dropout,Separated,Admin,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Other,Husband,Black,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,Bachelors,Married,White-Collar,Wife,White,Female,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Separated,Service,Own-child,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,Associates,Never-Married,Sales,Unmarried,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Local-gov,Associates,Married,Other,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Prof-School,Never-Married,Professional,Not-in-family,Other,Male,None,None,Hours per week <= 40.00,British-Commonwealth,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Associates,Never-Married,Other,Not-in-family,Black,Female,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Federal-gov,Masters,Married,Professional,Husband,White,Male,None,None,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Other,Husband,Black,Male,None,Low,Hours per week <= 40.00,Latin-America,"More than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Admin,Not-in-family,White,Female,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Married,Blue-Collar,Husband,Other,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Married,Professional,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
Age <= 28.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Blue-Collar,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Local-gov,Associates,Married,White-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Separated,Sales,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age <= 28.00,Private,High School grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
Age > 48.00,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,High,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,State-gov,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Sales,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,Bachelors,Separated,Sales,Not-in-family,Black,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Separated,Other,Not-in-family,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,?,High School grad,Separated,?,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Federal-gov,Bachelors,Never-Married,Professional,Not-in-family,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,High School grad,Married,Service,Wife,Black,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
28.00 < Age <= 37.00,Private,High School grad,Married,Blue-Collar,Husband,White,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Self-emp-inc,Prof-School,Married,Professional,Husband,White,Male,None,High,40.00 < Hours per week <= 45.00,United-States,"More than $50,000"
Age > 48.00,Private,High School grad,Married,Blue-Collar,Husband,Black,Male,None,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Self-emp-not-inc,Prof-School,Separated,Professional,Unmarried,White,Male,High,None,Hours per week <= 40.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Private,Associates,Separated,Blue-Collar,Unmarried,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
37.00 < Age <= 48.00,Private,Prof-School,Married,Other,Husband,White,Male,None,High,Hours per week <= 40.00,United-States,"More than $50,000"
37.00 < Age <= 48.00,Private,High School grad,Separated,Blue-Collar,Unmarried,White,Male,Low,None,Hours per week > 45.00,United-States,"More than $50,000"
28.00 < Age <= 37.00,Local-gov,Bachelors,Married,Other,Husband,White,Male,None,None,Hours per week > 45.00,United-States,"More than $50,000"
Age <= 28.00,Private,Associates,Married,Professional,Wife,White,Female,None,None,Hours per week <= 40.00,United-States,"Less than $50,000"
Age > 48.00,Private,Masters,Separated,White-Collar,Not-in-family,White,Male,None,High,Hours per week > 45.00,United-States,"More than $50,000"
